image,source_heic,concentration_raw,concentration_molar
IMG_8886.jpeg,IMG_8886.HEIC,100 pM,1e-10
IMG_8887.jpeg,IMG_8887.HEIC,100 pM,1e-10
IMG_8888.jpeg,IMG_8888.HEIC,10 nM,1e-08
IMG_8889.jpeg,IMG_8889.HEIC,10 nM,1e-08
IMG_8891.jpeg,IMG_8891.HEIC,100 pM,1e-10
IMG_8892.jpeg,IMG_8892.HEIC,100 pM,1e-10
IMG_8893.jpeg,IMG_8893.HEIC,100 pM,1e-10
IMG_8894.jpeg,IMG_8894.HEIC,10 nM,1e-08
IMG_8895.jpeg,IMG_8895.HEIC,10 nM,1e-08
IMG_8896.jpeg,IMG_8896.HEIC,10 nM,1e-08
IMG_8897.jpeg,IMG_8897.HEIC,10 nM,1e-08
IMG_8898.jpeg,IMG_8898.HEIC,10 nM,1e-08
IMG_8899.jpeg,IMG_8899.HEIC,10 nM,1e-08
IMG_8900.jpeg,IMG_8900.HEIC,100 nM,1.0000000000000001e-07
IMG_8901.jpeg,IMG_8901.HEIC,100 nM,1.0000000000000001e-07
IMG_8902.jpeg,IMG_8902.HEIC,100 nM,1.0000000000000001e-07
IMG_8903.jpeg,IMG_8903.HEIC,100 nM,1.0000000000000001e-07
IMG_8904.jpeg,IMG_8904.HEIC,100 nM,1.0000000000000001e-07
IMG_8905.jpeg,IMG_8905.HEIC,1 nM,1e-09
IMG_8906.jpeg,IMG_8906.HEIC,1 nM,1e-09
IMG_8907.jpeg,IMG_8907.HEIC,1 nM,1e-09
IMG_8908.jpeg,IMG_8908.HEIC,1 nM,1e-09
IMG_8909.jpeg,IMG_8909.HEIC,1 nM,1e-09
IMG_8910.jpeg,IMG_8910.HEIC,1 nM,1e-09
IMG_8911.jpeg,IMG_8911.HEIC,1 nM,1e-09
IMG_8912.jpeg,IMG_8912.HEIC,1 nM,1e-09
IMG_8913.jpeg,IMG_8913.HEIC,1 nM,1e-09
IMG_8914.jpeg,IMG_8914.HEIC,,0.0
IMG_8915.jpeg,IMG_8915.HEIC,,0.0
IMG_8916.jpeg,IMG_8916.HEIC,,0.0
IMG_8917.jpeg,IMG_8917.HEIC,,0.0
IMG_8918.jpeg,IMG_8918.HEIC,,0.0
IMG_8919.jpeg,IMG_8919.HEIC,,0.0
IMG_8920.jpeg,IMG_8920.HEIC,,0.0
IMG_8921.jpeg,IMG_8921.HEIC,,0.0
