image,source_heic,concentration_raw,concentration_molar
IMG_8799.jpeg,IMG_8799.HEIC,100 nM,1.0000000000000001e-07
IMG_8800.jpeg,IMG_8800.HEIC,100 nM,1.0000000000000001e-07
IMG_8801.jpeg,IMG_8801.HEIC,100 nM,1.0000000000000001e-07
IMG_8803.jpeg,IMG_8803.HEIC,100 nM,1.0000000000000001e-07
IMG_8804.jpeg,IMG_8804.HEIC,100 nM,1.0000000000000001e-07
IMG_8805.jpeg,IMG_8805.HEIC,100 nM,1.0000000000000001e-07
IMG_8806.jpeg,IMG_8806.HEIC,100 nM,1.0000000000000001e-07
IMG_8807.jpeg,IMG_8807.HEIC,100 nM,1.0000000000000001e-07
IMG_8808.jpeg,IMG_8808.HEIC,100 nM,1.0000000000000001e-07
IMG_8809.jpeg,IMG_8809.HEIC,100 nM,1.0000000000000001e-07
IMG_8810.jpeg,IMG_8810.HEIC,1 nM,1e-09
IMG_8811.jpeg,IMG_8811.HEIC,1 nM,1e-09
IMG_8812.jpeg,IMG_8812.HEIC,1 nM,1e-09
IMG_8813.jpeg,IMG_8813.HEIC,1 nM,1e-09
IMG_8814.jpeg,IMG_8814.HEIC,1 nM,1e-09
IMG_8815.jpeg,IMG_8815.HEIC,1 nM,1e-09
IMG_8816.jpeg,IMG_8816.HEIC,1 nM,1e-09
IMG_8817.jpeg,IMG_8817.HEIC,100 pM,1e-10
IMG_8818.jpeg,IMG_8818.HEIC,100 pM,1e-10
IMG_8819.jpeg,IMG_8819.HEIC,100 pM,1e-10
IMG_8820.jpeg,IMG_8820.HEIC,100 pM,1e-10
IMG_8821.jpeg,IMG_8821.HEIC,100 pM,1e-10
IMG_8822.jpeg,IMG_8822.HEIC,,0.0
IMG_8823.jpeg,IMG_8823.HEIC,,0.0
IMG_8824.jpeg,IMG_8824.HEIC,,0.0
IMG_8825.jpeg,IMG_8825.HEIC,100 pM,1e-10
IMG_8826.jpeg,IMG_8826.HEIC,,0.0
IMG_8827.jpeg,IMG_8827.HEIC,100 pM,1e-10
IMG_8828.jpeg,IMG_8828.HEIC,10 nM,1e-08
IMG_8829.jpeg,IMG_8829.HEIC,10 nM,1e-08
IMG_8830.jpeg,IMG_8830.HEIC,10 nM,1e-08
IMG_8831.jpeg,IMG_8831.HEIC,10 nM,1e-08
IMG_8832.jpeg,IMG_8832.HEIC,10 nM,1e-08
IMG_8833.jpeg,IMG_8833.HEIC,10 nM,1e-08
IMG_8834.jpeg,IMG_8834.HEIC,10 nM,1e-08
IMG_8835.jpeg,IMG_8835.HEIC,10 nM,1e-08
IMG_8836.jpeg,IMG_8836.HEIC,10 nM,1e-08
IMG_8838.jpeg,IMG_8838.HEIC,10 nM,1e-08
IMG_8839.jpeg,IMG_8839.HEIC,10 nM,1e-08
IMG_8840.jpeg,IMG_8840.HEIC,10 nM,1e-08
IMG_8841.jpeg,IMG_8841.HEIC,10 nM,1e-08
IMG_8849.jpeg,IMG_8849.HEIC,neg,0.0
IMG_8850.jpeg,IMG_8850.HEIC,neg,0.0
IMG_8851.jpeg,IMG_8851.HEIC,neg,0.0
IMG_8852.jpeg,IMG_8852.HEIC,neg,0.0
IMG_8853.jpeg,IMG_8853.HEIC,neg,0.0
IMG_8854.jpeg,IMG_8854.HEIC,neg,0.0
IMG_8855.jpeg,IMG_8855.HEIC,neg,0.0
IMG_8856.jpeg,IMG_8856.HEIC,neg,0.0
IMG_8857.jpeg,IMG_8857.HEIC,neg,0.0
IMG_8858.jpeg,IMG_8858.HEIC,100 pM,1e-10
IMG_8859.jpeg,IMG_8859.HEIC,100 pM,1e-10
IMG_8860.jpeg,IMG_8860.HEIC,100 pM,1e-10
IMG_8861.jpeg,IMG_8861.HEIC,100 pM,1e-10
IMG_8862.jpeg,IMG_8862.HEIC,100 pM,1e-10
IMG_8863.jpeg,IMG_8863.HEIC,100 pM,1e-10
IMG_8864.jpeg,IMG_8864.HEIC,1 nM,1e-09
IMG_8865.jpeg,IMG_8865.HEIC,1 nM,1e-09
IMG_8866.jpeg,IMG_8866.HEIC,1 nM,1e-09
IMG_8867.jpeg,IMG_8867.HEIC,1 nM,1e-09
IMG_8868.jpeg,IMG_8868.HEIC,1 nM,1e-09
IMG_8869.jpeg,IMG_8869.HEIC,1 nM,1e-09
IMG_8870.jpeg,IMG_8870.HEIC,,0.0
IMG_8871.jpeg,IMG_8871.HEIC,100 nM,1.0000000000000001e-07
IMG_8872.jpeg,IMG_8872.HEIC,100 nM,1.0000000000000001e-07
IMG_8873.jpeg,IMG_8873.HEIC,100 nM,1.0000000000000001e-07
IMG_8874.jpeg,IMG_8874.HEIC,neg,0.0
IMG_8875.jpeg,IMG_8875.HEIC,neg,0.0
IMG_8876.jpeg,IMG_8876.HEIC,neg,0.0
IMG_8877.jpeg,IMG_8877.HEIC,10 nM,1e-08
IMG_8878.jpeg,IMG_8878.HEIC,10 nM,1e-08
IMG_8879.jpeg,IMG_8879.HEIC,10 nM,1e-08
IMG_8880 2.jpeg,IMG_8880 2.HEIC,10 nM,1e-08
IMG_8880.jpeg,IMG_8880.HEIC,10 nM,1e-08
