image,tube,readout,roi_px,reliable,L,a,b,H,S,V,R,G,B,red_dominance,gray_mean,inv_mgv,bg_R,bg_G,bg_B
IMG_8800.jpeg,1,fluid,10858,True,55.23,13.049,4.665,109.418,59.6,156.704,156.691,124.945,126.047,31.195,134.589,120.411,171.727,171.313,166.778
IMG_8801.jpeg,1,fluid,11191,True,54.73,13.409,5.346,96.245,61.718,156.151,156.139,123.279,123.631,32.683,133.159,121.841,171.516,171.014,166.492
IMG_8803.jpeg,1,fluid,21600,True,49.966,13.166,7.395,43.92,64.858,145.152,144.324,110.655,107.791,35.1,120.416,134.584,133.819,134.989,130.93
IMG_8804.jpeg,1,fluid,16859,True,43.309,11.818,7.025,52.245,76.841,125.529,125.297,96.514,93.494,30.294,104.8,150.2,132.573,133.791,129.893
IMG_8805.jpeg,1,fluid,14028,True,50.628,14.598,5.17,100.88,63.685,146.987,146.851,111.58,113.243,34.439,122.329,132.671,136.751,137.012,135.172
IMG_8806.jpeg,1,fluid,15316,True,44.872,14.735,7.898,56.311,79.571,133.846,133.555,97.455,95.306,37.175,108.007,146.993,121.016,123.167,118.526
IMG_8807.jpeg,1,fluid,8395,True,41.109,12.003,9.883,19.056,102.947,122.679,122.679,92.481,84.723,34.077,100.623,154.377,124.826,127.813,121.64
IMG_8808.jpeg,1,fluid,7461,True,50.078,16.347,10.321,35.795,83.457,150.713,150.642,108.974,103.928,44.191,120.867,134.133,123.408,126.571,119.394
IMG_8809.jpeg,1,fluid,7894,True,46.302,15.941,10.499,28.321,86.69,140.048,139.761,99.577,94.356,42.795,110.994,144.006,113.489,116.272,110.417
IMG_8811.jpeg,1,fluid,18350,True,60.374,0.994,3.973,18.689,20.089,150.51,150.437,144.772,138.704,8.699,145.789,109.211,163.149,159.636,154.105
IMG_8812.jpeg,1,fluid,14778,True,54.466,1.321,3.287,16.928,20.113,135.353,135.26,129.413,124.889,8.109,130.652,124.348,152.046,150.176,145.452
IMG_8813.jpeg,1,fluid,22209,True,60.927,1.801,6.622,22.223,31.468,156.775,156.763,147.051,136.64,14.918,148.753,106.247,128.388,123.346,116.623
IMG_8814.jpeg,1,fluid,15918,True,57.767,0.868,5.191,29.195,25.557,146.13,145.874,139.494,131.09,10.582,140.439,114.561,134.153,130.293,123.385
IMG_8815.jpeg,1,fluid,7750,True,56.336,0.718,6.755,19.181,34.771,143.503,143.445,136.506,125.624,12.38,137.328,117.672,116.012,115.998,106.197
IMG_8816.jpeg,1,fluid,17488,True,66.517,0.113,5.71,21.516,23.23,167.314,167.17,162.009,152.149,10.091,162.44,92.56,124.571,124.575,115.71
IMG_8817.jpeg,1,fluid,15910,True,54.717,-0.206,3.68,22.706,17.756,133.719,133.541,130.747,124.471,5.932,130.815,124.185,165.509,161.403,156.148
IMG_8818.jpeg,1,fluid,19044,True,54.91,-0.473,3.749,24.042,17.138,133.794,133.636,131.374,124.826,5.536,131.289,123.711,167.354,163.771,157.999
IMG_8819.jpeg,1,fluid,23247,True,52.858,0.297,4.707,19.723,24.769,130.393,130.392,125.888,118.132,8.382,126.298,128.702,166.294,165.411,158.659
IMG_8820.jpeg,1,fluid,19368,True,56.351,1.163,1.921,35.755,13.213,138.906,138.861,134.631,132.014,5.538,135.651,119.349,163.676,162.625,159.785
IMG_8821.jpeg,1,fluid,31018,True,56.994,-0.217,4.895,22.129,22.82,140.386,140.364,136.687,128.182,7.929,136.792,118.208,165.142,164.224,157.502
IMG_8822.jpeg,1,fluid,36594,True,67.808,-0.154,3.186,22.247,12.516,168.333,168.151,165.682,160.249,5.186,165.766,89.234,174.608,173.44,167.109
IMG_8823.jpeg,1,fluid,21414,True,67.626,-0.547,3.548,24.713,13.13,167.347,167.128,165.349,158.953,4.977,165.105,89.895,171.706,169.806,163.789
IMG_8824.jpeg,1,fluid,30670,True,62.346,0.004,2.569,22.27,12.025,153.36,152.971,150.62,146.242,4.54,150.787,104.213,163.349,160.829,157.341
IMG_8825.jpeg,1,fluid,29429,True,59.14,-1.89,2.676,48.569,12.342,144.664,141.544,143.7,137.953,0.717,142.424,112.576,127.074,127.807,124.429
IMG_8826.jpeg,1,fluid,28368,True,53.939,-1.413,3.782,35.024,15.985,131.71,130.34,130.41,123.282,3.494,129.568,125.432,132.392,132.405,128.852
IMG_8827.jpeg,1,fluid,47765,True,41.844,-0.013,0.971,28.552,4.976,98.88,98.869,98.88,96.948,0.954,98.869,156.131,138.678,138.694,136.015
IMG_8828.jpeg,1,fluid,10477,True,71.101,1.313,2.541,13.273,13.088,178.718,178.7,173.045,169.529,7.414,174.362,80.638,172.932,173.614,169.536
IMG_8830.jpeg,1,fluid,4450,True,85.037,-1.041,2.989,30.627,7.641,213.311,212.809,212.944,206.981,2.846,212.295,42.705,171.043,171.751,168.492
IMG_8831.jpeg,1,fluid,31390,True,61.99,1.418,1.796,49.844,12.263,153.888,153.81,148.982,146.794,5.922,150.212,104.788,173.736,174.288,170.882
IMG_8832.jpeg,1,fluid,14630,True,54.538,0.165,3.113,20.137,16.714,134.032,133.903,130.801,125.747,5.63,131.144,123.856,145.931,145.892,141.189
IMG_8833.jpeg,1,fluid,15624,True,54.321,0.156,2.783,19.509,15.419,133.193,133.084,130.279,125.692,5.099,130.599,124.401,145.835,146.034,141.051
IMG_8834.jpeg,1,fluid,25791,True,55.53,0.152,2.571,22.414,14.022,136.246,135.988,133.262,129.02,4.847,133.574,121.426,146.117,146.563,141.986
IMG_8835.jpeg,1,fluid,48202,True,58.675,0.376,4.203,26.653,19.238,146.237,145.798,141.225,134.218,8.077,141.782,113.218,127.739,127.973,123.884
IMG_8836.jpeg,1,fluid,27980,True,56.746,-0.537,3.864,27.327,16.754,139.589,138.969,136.722,129.756,5.73,136.603,118.397,123.315,123.07,118.713
IMG_8838.jpeg,1,fluid,31792,True,56.6,0.495,3.858,27.622,18.35,141.282,140.935,136.425,130.039,7.702,137.043,117.957,118.283,118.252,115.08
IMG_8839.jpeg,1,fluid,32966,True,58.318,1.77,4.025,25.917,22.177,147.161,147.112,139.541,133.719,10.482,141.149,113.851,129.297,128.275,124.397
IMG_8840.jpeg,1,fluid,25547,True,51.366,-0.106,2.838,46.604,19.532,128.091,126.321,124.067,119.047,4.764,124.172,130.828,125.523,125.969,123.274
IMG_8841.jpeg,1,fluid,25357,True,51.687,-0.541,3.794,37.903,20.098,128.409,127.06,125.013,118.255,5.426,124.857,130.143,126.413,126.92,123.942
IMG_8849.jpeg,1,fluid,10955,True,54.037,-1.922,4.348,42.151,19.139,132.89,130.954,131.737,123.313,3.429,130.561,124.439,113.257,115.364,110.117
IMG_8850.jpeg,1,fluid,6666,True,62.12,-2.356,2.666,50.824,11.073,151.814,148.611,151.764,145.638,-0.09,150.146,104.854,121.355,123.2,117.721
IMG_8851.jpeg,1,fluid,6679,True,62.64,-1.915,1.993,57.785,10.0,153.278,150.253,152.994,148.3,-0.394,151.635,103.365,121.731,123.422,118.005
IMG_8852.jpeg,1,fluid,9778,True,57.136,-1.805,4.556,35.852,21.241,140.703,139.58,139.943,131.204,4.007,138.865,116.135,113.489,115.667,110.799
IMG_8853.jpeg,1,fluid,21590,True,55.41,-0.914,3.672,25.741,14.922,134.175,134.15,132.985,126.334,4.49,132.661,122.339,160.193,160.004,151.729
IMG_8854.jpeg,1,fluid,20528,True,57.003,-1.05,3.578,26.53,13.748,138.025,137.975,137.08,130.552,4.159,136.71,118.29,162.806,162.562,154.759
IMG_8855.jpeg,1,fluid,27658,True,67.685,-1.685,4.46,29.719,14.032,165.868,165.655,165.534,156.759,4.508,164.661,90.339,165.594,165.334,155.631
IMG_8856.jpeg,1,fluid,18543,True,6.429,-0.506,-2.564,105.723,69.833,23.822,17.49,20.599,23.812,-4.715,19.939,235.061,171.813,171.402,162.11
IMG_8857.jpeg,1,fluid,25366,True,70.0,-1.509,4.696,28.416,14.535,172.248,172.196,171.609,162.444,5.169,170.804,84.196,166.336,166.042,156.944
IMG_8858.jpeg,1,fluid,14493,True,59.877,-0.127,0.735,42.951,6.318,146.249,145.174,144.865,143.375,1.054,144.766,110.234,146.211,148.675,148.748
IMG_8859.jpeg,1,fluid,14550,True,60.209,-0.138,0.928,45.455,7.834,147.477,146.207,145.787,143.938,1.344,145.685,109.315,147.647,150.171,150.027
IMG_8860.jpeg,1,fluid,14732,True,60.585,-0.425,1.063,46.519,8.235,148.274,146.757,146.898,144.62,0.998,146.596,108.404,148.201,150.766,150.461
IMG_8861.jpeg,1,fluid,14066,True,91.006,-1.452,3.63,34.552,9.289,230.432,229.347,229.791,222.282,3.31,228.842,26.158,144.922,145.717,139.344
IMG_8862.jpeg,1,fluid,13838,True,90.225,-1.37,3.138,36.528,8.24,228.072,226.875,227.612,221.033,2.553,226.686,28.314,145.398,146.305,139.737
IMG_8863.jpeg,1,fluid,14214,True,90.574,-1.341,3.44,33.299,8.629,229.075,228.163,228.52,221.454,3.175,227.649,27.351,144.96,145.466,139.21
IMG_8867.jpeg,1,fluid,1741,True,92.421,-1.04,2.553,34.928,6.028,234.055,233.058,233.956,228.487,1.837,233.02,21.98,123.219,125.634,121.963
IMG_8869.jpeg,1,fluid,13406,True,87.739,-0.995,-0.059,70.471,6.209,221.94,217.977,220.666,219.943,-2.328,219.802,35.198,121.367,123.575,119.276
IMG_8870.jpeg,1,fluid,13561,True,81.262,6.486,5.677,25.182,32.474,218.619,218.224,197.795,192.06,23.296,203.259,51.741,130.141,131.55,126.749
IMG_8871.jpeg,1,fluid,13224,True,81.056,6.441,5.793,24.091,32.796,218.074,217.562,197.233,191.285,23.303,202.643,52.357,129.242,130.756,125.807
IMG_8872.jpeg,1,fluid,13035,True,80.215,6.68,6.522,25.447,35.706,216.778,216.138,194.704,187.604,24.984,200.319,54.681,123.95,125.752,120.826
IMG_8873.jpeg,1,fluid,7496,True,81.701,6.766,5.787,19.376,32.581,220.334,220.03,198.724,192.941,24.197,204.444,50.556,133.708,134.247,130.269
