image,tube,roi_px,reliable,L,a,b,H,S,V,R,G,B,red_dominance,gray_mean,inv_mgv
img1.jpg,1,22543,True,64.911,2.464,1.743,21.354,14.133,163.656,163.656,155.848,154.646,8.409,158.152,96.848
img1.jpg,2,23846,True,66.885,-1.178,1.402,44.695,5.78,163.243,161.527,163.243,159.567,0.122,162.317,92.683
img2.jpeg,1,1866,True,57.014,-1.579,2.344,40.185,9.372,137.387,135.893,137.387,132.337,1.031,136.38,118.62
img2.jpeg,2,1954,True,57.252,-0.967,2.472,31.907,10.237,138.325,137.447,137.669,132.814,2.206,137.078,117.922
img2.jpeg,3,2140,True,60.077,-1.906,2.356,41.673,9.544,145.474,143.302,145.462,140.0,0.571,144.221,110.779
img2.jpeg,4,760,True,58.596,-1.088,2.493,36.983,9.121,141.401,140.508,141.199,136.432,1.693,140.443,114.557
img2.jpeg,5,1646,True,48.776,7.687,3.448,89.575,47.757,130.836,130.36,111.572,110.863,19.143,117.11,137.89
img2.jpeg,6,1958,True,51.037,6.233,3.309,78.766,40.31,134.228,133.824,118.115,116.756,16.388,122.664,132.336
img2.jpeg,7,2303,True,51.403,5.908,2.823,76.586,36.819,134.266,133.893,119.116,118.178,15.246,123.408,131.592
img3.jpeg,1,1576,True,70.166,-1.492,2.393,38.456,8.003,172.141,170.632,172.138,166.77,1.178,171.079,83.921
img3.jpeg,2,977,True,74.031,-1.427,2.838,36.695,8.533,182.753,181.28,182.673,176.671,1.608,181.526,73.474
img3.jpeg,3,1047,True,72.149,-1.671,2.441,39.974,8.224,177.667,175.615,177.634,171.957,0.819,176.325,78.675
img3.jpeg,4,1507,True,63.785,5.516,3.486,66.068,31.853,166.777,166.345,151.39,149.08,16.11,155.602,99.398
img3.jpeg,5,884,True,63.915,5.857,3.727,74.791,33.984,167.843,167.395,151.708,149.247,16.917,156.12,98.88
img3.jpeg,6,1033,True,65.267,4.056,2.496,68.643,24.786,167.652,167.28,156.319,154.638,11.801,159.441,95.559
img4.jpeg,1,3396,True,70.148,-1.762,2.297,40.173,8.021,172.14,170.317,172.133,166.737,0.882,171.021,83.979
img4.jpeg,2,3382,True,72.149,-1.449,2.752,37.177,8.484,177.478,176.056,177.469,171.575,1.534,176.332,78.668
img4.jpeg,3,2285,True,71.124,-1.679,2.429,39.683,8.208,174.786,172.937,174.767,169.199,0.955,173.589,81.411
img4.jpeg,4,2141,True,68.872,2.952,2.923,63.207,20.74,175.838,175.536,166.228,163.092,10.876,168.678,86.322
img4.jpeg,5,2090,True,68.246,2.285,2.795,59.197,18.532,172.931,172.517,164.843,161.56,9.315,166.789,88.211
img4.jpeg,6,887,True,71.072,-0.598,3.136,26.669,10.579,175.457,175.105,173.851,168.196,4.081,173.643,81.357
img4.jpeg,7,2222,True,68.721,2.591,2.61,63.355,18.849,174.595,174.261,166.102,163.206,9.608,168.237,86.763
img5.jpeg,1,3143,True,43.413,1.491,2.624,51.138,23.672,107.041,106.512,101.749,98.574,6.35,102.79,152.21
img5.jpeg,2,3266,True,43.305,2.002,2.663,54.809,23.795,107.567,107.032,101.233,98.36,7.235,102.575,152.425
img5.jpeg,3,3010,True,46.012,-0.154,2.743,26.138,15.129,110.968,110.463,108.913,104.501,3.756,108.852,146.148
img5.jpeg,4,3816,True,46.818,-1.06,2.615,33.259,11.441,111.615,110.789,111.309,106.627,1.821,110.614,144.386
img5.jpeg,5,3091,True,47.711,-1.385,2.805,37.749,11.386,113.675,112.355,113.672,108.621,1.209,112.676,142.324
img5.jpeg,6,3919,True,46.858,-1.348,2.689,37.83,11.158,111.508,110.215,111.484,106.669,1.138,110.526,144.474
img6.jpeg,1,2424,True,52.993,0.23,1.107,49.826,8.505,128.316,127.421,126.326,124.332,2.092,126.45,128.55
img6.jpeg,2,1978,True,54.157,-0.189,1.366,28.847,7.865,130.632,129.944,129.37,126.703,1.907,129.308,125.692
img6.jpeg,3,2333,True,54.122,-0.087,1.432,30.845,8.603,130.784,130.15,129.173,126.466,2.33,129.212,125.788
img6.jpeg,4,1750,True,56.535,-1.158,1.397,44.974,6.762,136.112,134.423,136.109,132.563,0.087,135.222,119.778
img6.jpeg,5,1492,True,57.222,-1.009,1.814,40.449,7.198,137.834,136.572,137.833,134.004,0.653,137.002,117.998
img6.jpeg,6,1983,True,56.358,-1.246,1.453,45.515,7.03,135.684,133.858,135.683,132.006,0.014,134.731,120.269
img7.jpeg,1,1391,True,70.218,-1.304,2.855,35.067,8.875,172.108,171.025,172.044,166.218,1.894,171.039,83.961
img7.jpeg,2,1354,True,66.578,1.864,2.877,49.99,18.501,167.734,167.288,160.736,157.084,8.378,162.297,92.703
img7.jpeg,3,1367,True,70.736,-1.499,2.884,36.593,9.064,173.626,172.201,173.574,167.518,1.655,172.399,82.601
img7.jpeg,4,1062,True,65.722,3.993,3.211,62.326,26.802,169.167,168.708,157.341,154.555,12.76,160.421,94.579
img7.jpeg,5,1445,True,70.763,-0.772,2.797,28.485,9.228,174.247,173.702,173.284,167.991,3.065,172.862,82.138
img7.jpeg,6,1221,True,69.817,1.392,2.72,45.274,15.349,175.516,175.321,169.423,165.989,7.615,170.908,84.092
gray-background.png,1,2174,True,39.28,3.109,5.248,12.695,44.519,101.929,101.929,91.419,84.955,13.742,93.839,161.161
gray-background.png,2,1860,True,41.924,2.768,5.089,17.558,41.057,108.201,108.191,98.325,91.793,13.132,100.524,154.476
gray-background.png,3,1842,True,42.368,1.817,4.592,20.186,35.054,108.008,107.887,100.52,94.21,10.522,101.998,153.002
gray-background.png,4,1631,True,51.941,-0.357,6.476,21.754,32.529,130.082,130.067,125.777,114.89,9.733,125.828,129.172
gray-background.png,5,2046,True,51.098,-0.932,6.424,25.1,29.155,126.439,126.298,123.368,112.261,8.483,122.997,132.003
gray-background.png,6,474,True,75.807,-0.576,7.247,21.926,23.802,191.308,191.308,186.437,173.449,11.365,186.414,68.586
gray-background.png,7,2413,True,55.885,-1.441,7.176,25.965,28.885,138.125,138.019,135.544,122.668,8.913,134.827,120.173
