image,label
IMG_8020.jpeg,positive
IMG_8021.jpeg,positive
IMG_8022.jpeg,positive
IMG_8023.jpeg,positive
IMG_8024.jpeg,negative
IMG_8025.jpeg,negative
IMG_8026.jpeg,negative
IMG_8027.jpeg,positive
IMG_8028.jpeg,positive
IMG_8029.jpeg,negative
IMG_8030.jpeg,negative
IMG_8031.jpeg,positive
IMG_8032.jpeg,positive
IMG_8033.jpeg,positive
IMG_8034.jpeg,negative
IMG_8035.jpeg,negative
IMG_8036.jpeg,negative
IMG_8037.jpeg,negative
IMG_8038.jpeg,positive
IMG_8039.jpeg,positive
IMG_8040.jpeg,negative
IMG_8041.jpeg,negative
IMG_8042.jpeg,positive
IMG_8043.jpeg,positive
IMG_8044.jpeg,negative
IMG_8045.jpeg,negative
IMG_8046.jpeg,positive
IMG_8047.jpeg,negative
