image,tube,roi_px,reliable,L,a,b,H,S,V,R,G,B,red_dominance,gray_mean,inv_mgv
IMG_8020.jpeg,1,13850,True,45.901,4.682,2.668,37.594,32.413,118.971,118.971,106.468,105.095,13.19,110.037,144.963
IMG_8021.jpeg,1,11137,True,45.974,4.478,4.017,10.956,37.657,119.433,119.421,106.547,102.867,14.714,109.955,145.045
IMG_8022.jpeg,1,18199,True,52.394,4.694,4.416,12.215,36.061,136.726,136.726,122.578,118.27,16.302,126.309,128.691
IMG_8023.jpeg,1,18381,True,50.51,4.476,3.883,9.473,34.064,131.035,131.035,117.919,114.361,14.895,121.411,133.589
IMG_8024.jpeg,1,16209,True,51.695,-0.42,2.288,28.147,11.079,124.857,124.577,123.745,119.631,2.889,123.574,131.426
IMG_8025.jpeg,1,15159,True,52.348,-0.407,2.522,27.233,12.409,126.822,126.563,125.475,121.054,3.298,125.354,129.646
IMG_8026.jpeg,1,14227,True,54.56,-0.633,2.771,27.33,12.668,132.293,131.982,131.114,126.029,3.411,130.834,124.166
IMG_8027.jpeg,1,13532,True,49.817,3.275,3.753,13.856,30.062,127.377,127.375,117.031,112.946,12.387,119.675,135.325
IMG_8028.jpeg,1,14465,True,42.027,3.507,2.726,15.653,29.396,107.122,107.122,97.437,95.219,10.794,100.127,154.873
IMG_8029.jpeg,1,21349,True,58.794,-3.25,5.85,38.177,21.029,143.056,139.954,143.056,131.291,2.781,140.804,114.196
IMG_8030.jpeg,1,12395,True,56.576,-1.564,3.136,50.767,13.62,138.535,136.775,137.87,131.452,2.114,136.821,118.179
IMG_8031.jpeg,1,17164,True,58.966,-0.819,2.436,47.732,13.05,145.633,143.651,143.487,138.667,2.574,143.001,111.999
IMG_8032.jpeg,1,17420,True,58.365,-0.672,2.389,52.662,12.583,143.972,142.303,141.819,137.21,2.788,141.459,113.541
IMG_8033.jpeg,1,8717,True,85.283,0.22,7.969,20.882,25.085,220.096,220.081,212.437,198.253,14.736,213.073,41.927
IMG_8034.jpeg,1,7793,True,85.227,0.376,7.455,19.981,24.012,219.762,219.724,212.286,199.109,14.026,212.998,42.002
IMG_8035.jpeg,1,6218,True,87.16,-0.505,9.591,22.521,28.646,225.289,225.233,218.107,200.421,15.969,218.225,36.775
IMG_8036.jpeg,1,6437,True,86.812,-0.523,7.962,24.023,23.956,223.062,222.998,217.252,202.612,13.066,217.282,37.718
IMG_8037.jpeg,1,8347,True,87.08,-1.763,4.806,35.255,12.848,220.127,218.837,218.954,209.158,4.781,217.826,37.174
IMG_8038.jpeg,1,6555,True,85.215,1.676,9.905,17.223,34.31,224.166,224.157,211.286,194.323,21.353,213.208,41.792
IMG_8039.jpeg,1,8984,True,82.588,-0.848,5.116,29.039,14.977,208.691,208.292,205.904,196.276,7.201,205.532,49.468
IMG_8040.jpeg,1,9490,True,88.228,-1.932,6.973,28.572,17.722,223.862,223.417,222.027,208.262,8.273,220.889,34.111
IMG_8041.jpeg,1,9316,True,85.802,-1.71,0.619,67.628,7.525,216.429,211.881,215.683,213.228,-2.575,214.291,40.709
IMG_8042.jpeg,1,16547,True,80.643,-0.025,1.266,60.029,11.597,204.599,201.392,200.377,197.995,2.206,200.416,54.584
IMG_8043.jpeg,1,8238,True,84.516,1.125,3.723,41.739,16.455,217.364,216.322,210.148,204.15,9.173,211.31,43.69
IMG_8044.jpeg,1,12161,True,87.251,-1.815,0.826,65.854,7.601,220.468,215.865,219.744,216.933,-2.473,218.276,36.724
IMG_8045.jpeg,1,11682,True,86.293,-1.582,1.627,54.24,7.984,217.699,214.351,216.918,212.828,-0.522,215.706,39.294
IMG_8046.jpeg,1,11416,True,85.686,0.018,4.602,34.973,15.882,218.838,218.22,214.122,205.874,8.223,214.401,40.599
IMG_8047.jpeg,1,15885,True,87.71,-2.502,4.154,46.055,12.091,221.513,218.524,221.196,212.04,1.905,219.377,35.623
