image,tube,readout,roi_px,reliable,L,a,b,H,S,V,R,G,B,red_dominance,gray_mean,inv_mgv,bg_R,bg_G,bg_B
IMG_8020.jpeg,1,fluid,14024,True,45.462,5.2,2.629,38.538,33.974,118.667,118.667,105.149,104.21,13.988,109.107,145.893,136.789,137.566,130.851
IMG_8021.jpeg,1,fluid,11736,True,44.713,5.224,4.119,8.541,41.058,117.556,117.556,103.025,99.699,16.194,106.989,148.011,137.304,137.614,131.431
IMG_8022.jpeg,1,fluid,17934,True,51.316,5.15,4.254,11.505,37.064,134.612,134.612,119.641,115.925,16.829,123.699,131.301,139.256,138.995,132.151
IMG_8023.jpeg,1,fluid,17307,True,48.93,5.013,3.866,7.92,36.278,127.845,127.845,113.651,110.52,15.76,117.516,137.484,138.733,138.475,131.7
IMG_8024.jpeg,1,fluid,14790,True,51.637,-0.325,2.377,27.237,12.638,125.176,124.888,123.709,119.502,3.282,123.625,131.375,134.354,135.81,129.36
IMG_8025.jpeg,1,fluid,14393,True,52.55,-0.264,2.594,26.107,13.64,127.765,127.562,126.02,121.534,3.785,126.01,128.99,134.723,136.162,129.863
IMG_8026.jpeg,1,fluid,11381,True,53.765,-0.557,2.732,26.369,13.067,130.476,130.196,129.147,124.161,3.542,128.932,126.068,135.351,137.193,130.759
IMG_8027.jpeg,1,fluid,13862,True,47.282,3.653,3.656,12.145,31.585,121.387,121.387,110.463,106.787,12.762,113.321,141.679,135.143,136.561,130.414
IMG_8028.jpeg,1,fluid,12992,True,39.862,3.762,2.717,12.897,31.317,102.171,102.171,92.011,89.973,11.179,94.856,160.144,133.98,135.73,129.39
IMG_8029.jpeg,1,fluid,15713,True,56.299,-3.165,5.326,39.324,20.05,136.554,133.28,136.554,125.854,2.076,134.386,120.614,105.348,109.132,103.692
IMG_8030.jpeg,1,fluid,12559,True,59.398,-1.679,4.367,40.84,16.728,146.742,145.504,145.768,137.229,4.006,144.731,110.269,106.557,110.192,104.852
IMG_8031.jpeg,1,fluid,17162,True,50.348,2.864,2.94,39.618,24.158,128.994,128.947,119.841,116.545,10.753,122.186,132.814,112.389,115.912,111.232
IMG_8032.jpeg,1,fluid,17363,True,50.681,2.718,3.153,33.303,24.303,129.701,129.657,120.725,117.004,10.792,122.968,132.032,112.008,115.55,110.857
IMG_8033.jpeg,1,fluid,8655,True,82.763,3.408,8.478,16.477,33.817,219.453,219.442,203.491,190.472,22.46,206.757,48.243,112.974,103.971,91.94
IMG_8034.jpeg,1,fluid,7900,True,82.826,2.612,8.539,15.315,32.648,218.217,218.195,204.213,190.544,20.817,206.832,48.168,112.703,103.668,91.634
IMG_8035.jpeg,1,fluid,6358,True,88.98,0.043,8.829,21.508,26.911,230.909,230.862,222.957,206.897,15.936,223.507,31.493,120.47,105.66,90.493
IMG_8036.jpeg,1,fluid,6573,True,88.762,-0.403,8.288,23.148,24.45,229.048,228.973,222.64,207.285,14.011,222.784,32.216,117.303,105.318,91.096
IMG_8037.jpeg,1,fluid,8403,True,89.905,-1.383,5.757,27.233,14.972,228.684,228.298,226.631,215.385,7.291,225.863,29.137,126.192,118.657,107.666
IMG_8038.jpeg,1,fluid,6809,True,86.472,3.738,13.003,16.228,45.85,233.551,233.536,213.349,192.305,30.71,216.986,38.014,136.259,120.062,103.255
IMG_8039.jpeg,1,fluid,9012,True,83.403,2.897,7.898,17.952,31.028,219.967,219.961,205.842,193.374,20.353,208.647,46.353,124.288,117.638,105.044
IMG_8040.jpeg,1,fluid,9982,True,90.053,-1.797,7.551,26.455,19.151,229.483,229.282,226.972,212.232,9.68,225.976,29.024,122.944,116.972,104.114
IMG_8041.jpeg,1,fluid,9676,True,87.381,-1.763,0.266,73.821,7.452,221.014,215.869,220.169,218.326,-3.378,218.709,36.291,108.55,111.567,107.691
IMG_8042.jpeg,1,fluid,16814,True,82.721,2.689,2.113,51.963,14.236,213.292,213.24,204.479,202.439,9.781,206.894,48.106,110.971,114.897,111.301
IMG_8043.jpeg,1,fluid,8369,True,85.162,2.99,3.974,29.212,19.932,222.033,222.008,210.854,205.531,13.816,213.599,41.401,118.256,118.413,111.17
IMG_8044.jpeg,1,fluid,12086,True,89.516,-1.758,0.377,72.065,6.577,226.721,221.896,226.091,224.059,-3.18,224.625,30.375,114.892,119.751,116.175
IMG_8045.jpeg,1,fluid,11944,True,88.955,-1.648,1.17,60.455,6.756,225.059,221.276,224.432,221.089,-1.484,223.138,31.862,115.885,118.832,114.942
IMG_8046.jpeg,1,fluid,11533,True,87.72,1.109,4.207,35.802,16.568,226.102,225.681,219.147,212.263,9.976,220.336,34.664,101.559,101.853,98.701
IMG_8047.jpeg,1,fluid,16565,True,89.955,-1.947,2.649,48.466,8.615,227.598,224.655,227.21,221.066,0.517,225.747,29.253,102.769,104.236,100.539
